17	3

1350	240	245

0	41	1	43	1	36	1	12	10000	4000000	4000000	4000000	1	0	Item 0

1	45	1	46	1	41	1	4	10000	4000000	4000000	4000000	1	0	Item 1

2	49	1	50	1	44	1	4	10000	4000000	4000000	4000000	1	0	Item 2

3	55	1	55	1	49	1	4	10000	4000000	4000000	4000000	2	0	Item 3

4	60	1	61	1	54	1	4	10000	4000000	4000000	4000000	0	0	Item 4

5	68	1	69	1	61	1	8	10000	4000000	4000000	4000000	0	0	Item 5

6	74	1	77	1	67	1	6	10000	4000000	4000000	4000000	1	0	Item 6

7	85	1	86	1	75	1	2	10000	4000000	4000000	4000000	1	0	Item 7

8	86	1	123	1	122	1	1	10000	4000000	4000000	4000000	0	0	Item 8

9	90	1	95	1	136	1	3	10000	4000000	4000000	4000000	0	0	Item 9

10	96	1	200	1	178	1	5	10000	4000000	4000000	4000000	1	0	Item 10

11	98	1	107	1	147	1	3	10000	4000000	4000000	4000000	1	0	Item 11

12	116	1	116	1	162	1	3	10000	4000000	4000000	4000000	1	0	Item 12

13	120	1	126	1	176	1	3	10000	4000000	4000000	4000000	2	0	Item 13

14	136	1	138	1	197	1	1	10000	4000000	4000000	4000000	1	0	Item 14

15	149	1	154	1	148	1	3	10000	4000000	4000000	4000000	0	0	Item 15

16	171	1	180	1	163	1	1	10000	4000000	4000000	4000000	1	0	Item 16

