16	1

1203	239	235

0	20	1	40	1	150	1	50	10000	3	16	62	0	0	Table

1	50	0	50	1	45	1	20	10000	4000000	0	0	0	0	Tv

2	50	1	60	0	40	1	30	10000	0	4000000	16	0	0	Bed

3	50	0	70	0	35	1	40	10000	4000000	4000000	14	0	0	Chair

4	50	1	80	1	30	1	50	10000	4000000	4000000	4000000	0	0	Item 4

5	50	1	90	1	25	1	10	10000	4000000	4000000	4000000	0	0	Item 5

6	50	1	100	1	20	1	30	10000	4000000	4000000	4000000	0	0	Item 6

7	50	1	110	1	15	1	30	10000	4000000	4000000	4000000	0	0	Item 7

8	50	1	120	1	10	1	40	10000	4000000	4000000	4000000	0	0	Item 8

9	50	1	130	1	50	1	40	10000	4000000	4000000	4000000	0	0	Item 9

10	50	1	80	1	30	1	50	10000	4000000	4000000	4000000	0	0	Item 10

11	50	1	90	1	25	1	20	10000	4000000	4000000	4000000	0	0	Item 11

12	50	1	100	1	20	1	30	10000	4000000	4000000	4000000	0	0	Item 12

13	50	1	110	1	15	1	35	10000	4000000	4000000	4000000	0	0	Item 13

14	50	1	120	1	10	1	40	10000	4000000	4000000	4000000	0	0	Item 14

15	50	1	130	1	50	1	50	10000	4000000	4000000	4000000	0	0	Item 15

