16	1

220	243	227

0	20	1	40	1	150	1	50	10000	3	16	62	0	0	

1	50	0	50	1	45	1	20	10000	4000000	0	0	0	0	

2	50	1	60	0	40	1	30	10000	0	4000000	16	0	0	

3	50	1	70	1	35	1	100	10000	4000000	4000000	4000000	0	0	

4	50	1	80	1	30	1	200	10000	4000000	4000000	4000000	0	0	

5	50	1	90	1	25	1	200	10000	4000000	4000000	4000000	0	0	

6	50	1	100	1	20	1	200	10000	4000000	4000000	4000000	0	0	

7	50	1	110	1	15	1	200	10000	4000000	4000000	4000000	0	0	

8	50	1	120	1	10	1	40	10000	4000000	4000000	4000000	0	0	

9	50	1	130	1	50	1	40	10000	4000000	4000000	4000000	0	0	

10	50	1	80	1	30	1	200	10000	4000000	4000000	4000000	0	0	

11	50	1	90	1	25	1	20	10000	4000000	4000000	4000000	0	0	

12	50	1	100	1	20	1	200	10000	4000000	4000000	4000000	0	0	

13	50	1	110	1	15	1	35	10000	4000000	4000000	4000000	0	0	

14	50	1	120	1	10	1	40	10000	4000000	4000000	4000000	0	0	

15	50	1	130	1	50	1	50	10000	4000000	4000000	4000000	0	0	

