10	10	220	243	227
11485000	7370000
0	0	0	70	30	50	4	1	1	0	0	0
0	0	50	70	30	100	4	1	1	0	0	0
0	0	100	70	30	150	4	1	1	0	0	0
0	0	150	70	30	200	4	1	1	0	0	0
70	0	0	140	30	50	4	1	1	0	0	0
70	0	50	140	30	100	4	1	1	0	0	0
70	0	100	140	30	150	4	1	1	0	0	0
70	0	150	140	30	200	4	1	1	0	0	0
140	0	0	210	30	50	4	1	1	0	0	0
140	0	50	210	30	100	4	1	1	0	0	0
140	0	100	210	30	150	4	1	1	0	0	0
140	0	150	210	30	200	4	1	1	0	0	0
0	93	0	20	243	150	0	2	2	0	0	0
20	93	0	40	243	150	0	2	2	0	0	0
40	93	0	60	243	150	0	2	2	0	0	0
60	93	0	80	243	150	0	2	2	0	0	0
80	93	0	100	243	150	0	2	2	0	0	0
0	93	150	30	143	200	9	3	3	0	0	0
0	143	150	30	193	200	9	3	3	0	0	0
0	193	150	30	243	200	9	3	3	0	0	0
30	93	150	60	143	200	9	3	3	0	0	0
30	143	150	60	193	200	9	3	3	0	0	0
30	193	150	60	243	200	9	3	3	0	0	0
60	93	150	90	143	200	9	3	3	0	0	0
60	143	150	90	193	200	9	3	3	0	0	0
60	193	150	90	243	200	9	3	3	0	0	0
0	93	200	80	143	225	5	4	4	0	0	0
0	143	200	80	193	225	5	4	4	0	0	0
0	193	200	80	243	225	5	4	4	0	0	0
0	30	0	90	80	20	6	5	5	0	0	0
0	30	20	90	80	40	6	5	5	0	0	0
0	30	40	90	80	60	6	5	5	0	0	0
0	30	60	90	80	80	6	5	5	0	0	0
0	30	80	90	80	100	6	5	5	0	0	0
0	30	100	90	80	120	6	5	5	0	0	0
0	30	120	90	80	140	6	5	5	0	0	0
0	30	140	90	80	160	6	5	5	0	0	0
0	30	160	90	80	180	6	5	5	0	0	0
0	30	180	90	80	200	6	5	5	0	0	0
0	80	0	50	90	110	8	6	6	0	0	0
0	80	110	50	90	220	8	6	6	0	0	0
50	80	0	100	90	110	8	6	6	0	0	0
50	80	110	100	90	220	8	6	6	0	0	0
100	80	0	150	90	110	8	6	6	0	0	0
100	80	110	150	90	220	8	6	6	0	0	0
150	80	0	200	90	110	8	6	6	0	0	0
